,,,,,,,,,,,,,,,
,Points de Ramassage ,,Localisation Coordonnées GPS,,,n min,n max,temps d'arrivée,temps de départ,Population,Ligne,Remarque,,Code,Signification
,Stade communal,,"36,6685814, 2,9479790",,,2,2,7h,7h,G1,Douera, ,,,
,Café djabou,,"36,6782279, 2,9414539",,,1,1,7h,7h,,Douera, ,,,
,Rond Point AADL,,"36,6863204, 2,9434418",,,9,9,7h,7h,,Douera, ,,,
,Aadl baba Hassen,,"36,6819525, 2,9441495",,,1,1,7h,7h,,Douera, ,,,
,AADL baba Hassen 2,,"36,6825599, 2,9467191",,,2,2,7h,7h, ,Douera, ,,,
,Sortie autoroute,,"36,6867933, 2,9507699",,,2,2,7h,7h,,Douera, ,,,
,Issou,,"36,6859079, 2,9607916",,,3,3,,,,Douera, ,,,
,Clinique médical,,"36,6925871, 2,9653873",,,2,3,,,,Douera, ,,,
,arrêt taxi,,"36,6977234, 2,9664786",,,3,3,,,,Douera, ,,,
,Résidence les lilas ,,"36,7127925, 2,9618900",,,1,1,,,,Douera, ,,,
,AADL 1200 tonic,,"36,6420693, 2,7218769",,,2,2,,,,Fouka,,,,
,Chaik 2,,"36,6425898, 2,7323016",,,5,5,,,,Fouka,,,,
,Chaiba,,"36,6252392, 2,7211108",,,6,6,,,,Fouka,,,,
,Rond point bou Ismaël,,"36,6394485, 2,6963831",,,1,1,,,,Fouka,,,,
,Placette bou Ismaël,,"36,6608913, 2,7419985",,,5,5,,,,Fouka,,,,
,Benhani,,"36,6572329, 2,7447166",,,3,3,,,,Fouka,,,,
,Salle de sport sortie fouka,,"36,6518513, 2,7525583",,,2,2,,,,Fouka,,,,
,Kerkouba,,"36,6456837, 2,7593014",,,5,5,,,,Fouka,,,,
,Olympique,,"36,6422552, 2,7528939",,,1,1,,,,Fouka,,,,
,"Station NAFTAL kolea",,"36,6384859, 2,7562474",,,1,1,,,,Fouka,,,,
,Cnas,,"36,6380124, 2,7661414",,,2,2,,,,Fouka,,,,
,Cimetière kolea,,"36,6431744, 2,7748200",,,8,8,,,,Fouka,,,,
,Saint Maurice,,"36,6649093, 2,7842634",,,3,3,,,,Fouka,,,,
,Arrêt de bus douaouda,,"36,6734625, 2,7877707",,,2,2,,,,Fouka,,,,
,Sortie douaouda,,"36,6787673, 2,7982182 ",,,2,2,,,,Fouka,,,,
,Naftal zeralda ,,"36,7016503, 2,8360733",,,6,6,,,,Fouka,,,,
,Aissani,,"36,8022066, 2,9198283",,,7,7,,,M1,Ain beniane 1,,,,
,Rond Point la Madrague,,"36,8013032, 2,9089314",,,3,3,,,,Ain beniane 1,,,,
,École police,,"36,7966238, 2,9052173",,,6,7,,,G1,Ain beniane 1,,,,
,Zigadi,,"36,7893719, 2,9028603",,,7,7,,,,Ain beniane 1,,,,
,Plateau,,"36,7848066, 2,9491143",,,1,1,6h50,6h50,,Ain beniane 2,,,,
,Grand rocher,,"36,8028093, 2,9406338",,,2,3,7h00,7h00,,Ain beniane 2,,,,
,Anade,,"36,7987045, 2,9289384",,,3,3,7h05,7h05,,Ain beniane 2,,,,
,Sonelgaz,,"36,7943471, 2,9342911
",,,1,1,,,,Ain beniane 2,,,,
,Pharmacie dey,,"36,7914613, 2,9392116",,,0,1,,,,Ain beniane 2,,,,
,Hai chenawa,,"36,7883019, 2,9148906",,,3,5,,,,Ain beniane 2,,,,
,Stade belle vue,,"36,7887699, 2,9128344",,,2,2,,,,Ain beniane 2,,,,
,Maison de jeunes,,"36,7905895, 2,9111926",,,1,1,,,,Ain beniane 2,,,,
,Association bir w ihssen,,"36,7943353, 2,9125712",,,2,2,,,,Ain beniane 2,,,,
,Bâtiments ain benian,,"36,7972601, 2,9127412",,,3,3,,,,Ain beniane 2,,,,
,"SARL djaouad",,"36,7989144, 2,9125860",,,2,2,,,,Ain beniane 2,,,,
,Entrée cheraga,,"36,7708781, 2,9185673",,,2,4,,, ,Ain beniane 2,,,,
,Sidi serhan,,"36,5043507, 2,9989471",,,1,1,,,,Bouinane,,,,
,Boulangerie serine,,"36,5312584, 2,9614887",,,2,2,,,G1,Bouinane,,,,
,AADL 2000,,"36,5325330, 2,9612486",,,1,1,,,,Bouinane,,,,
,AADL 3000,,"36,5389002, 2,9598492",,,1,1,,,G1,Bouinane,,,,
,Haouch lgereoun,,"36,5399355, 2,9670325",,,1,1,,,,Bouinane,,,,
,Hai wouroud,,"36,5399435, 2,9680923",,,2,2,,,G1,Bouinane,,,,
,3100 arrêt 1,,"36,5386282, 2,9810949",,,1,1,,,,Bouinane,,,,
,Cem chetouan,,"36,5352862, 2,9823449",,,4,4,,,G1,Bouinane,,,,
,Cem 2,,"36,5350728, 2,9812287",,,2,2,,,,Bouinane,,,,
,Arrêt prochain,,"36,5342056, 2,9822899",,,3,3,,,G1,Bouinane,,,,
,Déviation,,"36,5342636, 2,9870199",,,6,6,,,G2,Bouinane,,,,
,4500,,"36,5387839, 2,9929835",,,4,4,,,,Bouinane,,,,
,Tabainat,,"36,5346100, 3,0411999",,,3,3,,,G2,Bouinane,,,,
,AADL Aslan,,"36,6803586, 2,8421662",,,5,5,7h00,7h00,,Sidi abdellah,,,,
,Aslan rond Point 2,,"36,6783809, 2,8421015",,,6,6,7h01,7h01,C1,Sidi abdellah,,,,
,Cem sidi Abdellah,,"36,6718237, 2,8431476",,,1,1,,,,Sidi abdellah,,,,
,AADL 5000,,"36,6745744, 2,8480758",,,4,4,,,G1,Sidi abdellah,,,,
,"5000 arrêt 2",,"36,6766320, 2,8498719",,,1,1,,,,Sidi abdellah,,,,
,"Bâtiment N8",,"36,6813744, 2,8509558",,,2,2,,,,Sidi abdellah,,,,
,Bâtiment R1,,"36,6809972, 2,8554284",,,3,3,,,,Sidi abdellah,,,,
,Boucherie lina,,"36,6860044, 2,8542090",,,2,3,,,,Sidi abdellah,,,,
,Boulevard Hocine ait ahmed,,"36,6873662, 2,8570981",,,1,1,,,,Sidi abdellah,,,,
,Air de sport,,"36,6901739, 2,8601893",,,2,2,,,G1,Sidi abdellah,,,,
,"New Town",,"36,6901736, 2,8556762",,,1,1,,,,Sidi abdellah,,,,
,"CAAR sidi Abdellah",,"36,6902949, 2,8541725",,,1,1,,,,Sidi abdellah,,,,
,"Poste sidi Abdellah",,"36,6909272, 2,8503416",,,6,6,,,"G1, C1, P1",Sidi abdellah,,,,
,Hôpital des grands brûlés zeralda,,"36,6990339, 2,8441142",,,1,1,,,,Sidi abdellah,,,,
,Cité police sidi menif,,"36,6939256, 2,8253458",,,2,3,7h00,7h00,"S1, G1",Zeralda,,,,
,Sidi menif,,"36,6972701, 2,8240784",,,1,1,7h02,7h02,G1,Zeralda,,,,
,Gare routière zeralda,,"36,7128185, 2,8337890",,,1,3,7h10,7h10,"S1, G1",Zeralda,,,,
,Beridja,,"36,7429712, 2,8702443",,,1,3,7h17,7h17,S2,Zeralda,,,,
,Hôtel riad,,"36,7573598, 2,8518799",,,1,1,7h20,7h20,,Zeralda,,,,
,Centre de  vacances netcom,,"36,7561903, 2,8589106",,,1,1,7h22,7h22,,Zeralda,,,,
,Hai Khaled ibn walid,,"36,7506361, 2,8720994",,,1,1,7h25,7h25,,Zeralda,,,,
,Staoueli centre,,"36,7486130, 2,8852667",,,4,5,7h30,7h30,"M1, S1",Zeralda,,,,
