Points de Ramassage ,Localisation Coordonnées GPS,n max,Ligne,,,,,
Fleuriste,"36.7116206, 3.0937833",2,Bachdjerah,,,,,
Stade ain naadja,"36.7097158, 3.0869567",2,Bachdjerah,,,,,
Golden training,"36.7089462, 3.0853135",5,Bachdjerah,,,,,
Station ain naadja,"36.7085855, 3.0820288",1,Bachdjerah,,,,,
AADL ain naadja,"36.7122052, 3.0858892",2,Bachdjerah,,,,,
Hôpital ain naadja,"36.7229011, 3.0646568",1,Bachdjerah,,,,,
Dar beida auto route,"36.7137958, 3.2273653",1,El hamiz,,,,,
Pont dar El beida,"36.7177931, 3.2251615",1,El hamiz,,,,,
Sntp,"36.7281673, 3.2167002",1,El hamiz,,,,,
Mosalaha,"36.7210441, 3.2005476",3,El hamiz,,,,,
Fatma nsoumer,"36.7205854, 3.2147113",2,El hamiz,,,,,
Poste dar beida,"36.722176, 3.2105643",1,El hamiz,,,,,
Quatre chemins,"36.7213322, 3.205333",2,El hamiz,,,,,
Société générale usthb,"36.7147166, 3.1891492",1,El hamiz,,,,,
Usthb jorf,"36.7190258, 3.1810043",3,El hamiz,,,,,
Mayo,"36.7931292, 3.0498322",1,Bab el oued,,,,,
Stade bouloughine,"36.8017051, 3.0485361",1,Bab el oued,,,,,
Hôtel bouloughine,"36.8023277, 3.0480663",1,Bab el oued,,,,,
La vigie,"36.8120927, 3.022182",2,Bab el oued,,,,,
Usine ciment,"36.816426, 3.0168823",1,Bab el oued,,,,,
Rond Point la pointe,"36.8172082, 3.009406",4,Bab el oued,,,,,
Les horizons,"36.8157727, 3.0010211",2,Bab el oued,,,,,
Birouma,"36.8125037, 2.9871634",1,Bab el oued,,,,,
Tribunal bainem,"36.8138796, 2.9763588",2,Bab el oued,,,,,
Elhammamet,"36.8138423, 2.9695075",4,Bab el oued,,,,,
